CLOSE1	CLOSE2	CLOSE3	CLOSE4	CLOSE5	CLOSE6	CLOSE7	CLOSE8	CLOSE9	CLOSE10	CLOSE11	CLOSE12	CLOSE13	CLOSE14	CLOSE90
37000.00	37018.00	37038.00	37151.00	37201.00	37400.00	38101.00	39500.00	39501.00	39501.00	39512.00	39509.00	39000.00	38989.00	9973.00
37018.00	37038.00	37151.00	37201.00	37400.00	38101.00	39500.00	39501.00	39501.00	39512.00	39509.00	39000.00	38989.00	38500.00	9974.00
37038.00	37151.00	37201.00	37400.00	38101.00	39500.00	39501.00	39501.00	39512.00	39509.00	39000.00	38989.00	38500.00	38500.00	10000.00
37151.00	37201.00	37400.00	38101.00	39500.00	39501.00	39501.00	39512.00	39509.00	39000.00	38989.00	38500.00	38500.00	38500.00	9999.00
37201.00	37400.00	38101.00	39500.00	39501.00	39501.00	39512.00	39509.00	39000.00	38989.00	38500.00	38500.00	38500.00	38499.00	9980.00
37400.00	38101.00	39500.00	39501.00	39501.00	39512.00	39509.00	39000.00	38989.00	38500.00	38500.00	38500.00	38499.00	38600.00	9866.00
38101.00	39500.00	39501.00	39501.00	39512.00	39509.00	39000.00	38989.00	38500.00	38500.00	38500.00	38499.00	38600.00	39100.00	9799.00
39500.00	39501.00	39501.00	39512.00	39509.00	39000.00	38989.00	38500.00	38500.00	38500.00	38499.00	38600.00	39100.00	40000.00	9487.00
39501.00	39501.00	39512.00	39509.00	39000.00	38989.00	38500.00	38500.00	38500.00	38499.00	38600.00	39100.00	40000.00	40500.00	9350.00
39501.00	39512.00	39509.00	39000.00	38989.00	38500.00	38500.00	38500.00	38499.00	38600.00	39100.00	40000.00	40500.00	40520.00	9200.00
39512.00	39509.00	39000.00	38989.00	38500.00	38500.00	38500.00	38499.00	38600.00	39100.00	40000.00	40500.00	40520.00	40557.00	9195.00
39509.00	39000.00	38989.00	38500.00	38500.00	38500.00	38499.00	38600.00	39100.00	40000.00	40500.00	40520.00	40557.00	41064.00	9101.00
39000.00	38989.00	38500.00	38500.00	38500.00	38499.00	38600.00	39100.00	40000.00	40500.00	40520.00	40557.00	41064.00	42420.00	9000.00
38989.00	38500.00	38500.00	38500.00	38499.00	38600.00	39100.00	40000.00	40500.00	40520.00	40557.00	41064.00	42420.00	43200.00	8900.00
38500.00	38500.00	38500.00	38499.00	38600.00	39100.00	40000.00	40500.00	40520.00	40557.00	41064.00	42420.00	43200.00	42470.00	8890.00
38500.00	38500.00	38499.00	38600.00	39100.00	40000.00	40500.00	40520.00	40557.00	41064.00	42420.00	43200.00	42470.00	40347.00	9000.00
38500.00	38499.00	38600.00	39100.00	40000.00	40500.00	40520.00	40557.00	41064.00	42420.00	43200.00	42470.00	40347.00	39012.00	9450.00
38499.00	38600.00	39100.00	40000.00	40500.00	40520.00	40557.00	41064.00	42420.00	43200.00	42470.00	40347.00	39012.00	39000.00	9599.00
38600.00	39100.00	40000.00	40500.00	40520.00	40557.00	41064.00	42420.00	43200.00	42470.00	40347.00	39012.00	39000.00	38500.00	9600.00
39100.00	40000.00	40500.00	40520.00	40557.00	41064.00	42420.00	43200.00	42470.00	40347.00	39012.00	39000.00	38500.00	38001.00	9349.00
40000.00	40500.00	40520.00	40557.00	41064.00	42420.00	43200.00	42470.00	40347.00	39012.00	39000.00	38500.00	38001.00	38001.00	9004.00
40500.00	40520.00	40557.00	41064.00	42420.00	43200.00	42470.00	40347.00	39012.00	39000.00	38500.00	38001.00	38001.00	37800.00	9021.00
40520.00	40557.00	41064.00	42420.00	43200.00	42470.00	40347.00	39012.00	39000.00	38500.00	38001.00	38001.00	37800.00	37125.00	9350.00
40557.00	41064.00	42420.00	43200.00	42470.00	40347.00	39012.00	39000.00	38500.00	38001.00	38001.00	37800.00	37125.00	37298.00	9300.00
41064.00	42420.00	43200.00	42470.00	40347.00	39012.00	39000.00	38500.00	38001.00	38001.00	37800.00	37125.00	37298.00	37502.00	9350.00
42420.00	43200.00	42470.00	40347.00	39012.00	39000.00	38500.00	38001.00	38001.00	37800.00	37125.00	37298.00	37502.00	37602.00	9352.00
43200.00	42470.00	40347.00	39012.00	39000.00	38500.00	38001.00	38001.00	37800.00	37125.00	37298.00	37502.00	37602.00	37599.00	9200.00
42470.00	40347.00	39012.00	39000.00	38500.00	38001.00	38001.00	37800.00	37125.00	37298.00	37502.00	37602.00	37599.00	37490.00	9199.00
40347.00	39012.00	39000.00	38500.00	38001.00	38001.00	37800.00	37125.00	37298.00	37502.00	37602.00	37599.00	37490.00	36800.00	9200.00
39012.00	39000.00	38500.00	38001.00	38001.00	37800.00	37125.00	37298.00	37502.00	37602.00	37599.00	37490.00	36800.00	37000.00	9189.00
39000.00	38500.00	38001.00	38001.00	37800.00	37125.00	37298.00	37502.00	37602.00	37599.00	37490.00	36800.00	37000.00	37000.00	9167.00
38500.00	38001.00	38001.00	37800.00	37125.00	37298.00	37502.00	37602.00	37599.00	37490.00	36800.00	37000.00	37000.00	37002.00	9000.00
38001.00	38001.00	37800.00	37125.00	37298.00	37502.00	37602.00	37599.00	37490.00	36800.00	37000.00	37000.00	37002.00	37100.00	8990.00
38001.00	37800.00	37125.00	37298.00	37502.00	37602.00	37599.00	37490.00	36800.00	37000.00	37000.00	37002.00	37100.00	37150.00	8990.00
37800.00	37125.00	37298.00	37502.00	37602.00	37599.00	37490.00	36800.00	37000.00	37000.00	37002.00	37100.00	37150.00	37169.00	8950.00
