OPEN	HIGH	LOW	CLOSE	VOL	END
3071.00	3071.00	3070.00	3070.00	8200	3070.00
3070.00	3070.00	3070.00	3070.00	1400	3070.00
3070.00	3070.00	3070.00	3070.00	686	3070.00
3070.00	3070.00	3070.00	3070.00	11000	3070.00
3070.00	3070.00	3070.00	3070.00	42100	3070.00
3050.00	3050.00	3050.00	3050.00	7869	3050.00
3051.00	3051.00	3051.00	3051.00	750	3051.00
3100.00	3100.00	3000.00	3000.00	13201	3000.00
3000.00	3000.00	3000.00	3000.00	41358	3000.00
3000.00	3000.00	3000.00	3000.00	6000	3000.00
3000.00	3002.00	3000.00	3002.00	40237	3002.00
3000.00	3001.00	3000.00	3001.00	51589	3001.00
3000.00	3000.00	3000.00	3000.00	29660	3000.00
3000.00	3000.00	3000.00	3000.00	377	3000.00
3002.00	3002.00	3002.00	3002.00	2254	3002.00
3006.00	3007.00	3005.00	3005.00	9000	3005.00
3005.00	3005.00	3005.00	3005.00	20000	3005.00
3005.00	3005.00	3005.00	3005.00	9610	3005.00
3005.00	3005.00	3005.00	3005.00	13730	3005.00
3005.00	3005.00	3005.00	3005.00	156	3005.00
3005.00	3005.00	3005.00	3005.00	12496	3005.00
3010.00	3050.00	3010.00	3050.00	32465	3050.00
3050.00	3050.00	3050.00	3050.00	656	3050.00
3050.00	3050.00	3050.00	3050.00	1211	3050.00
3050.00	3050.00	3050.00	3050.00	68948	3050.00
3050.00	3050.00	3050.00	3050.00	26578	3050.00
3051.00	3051.00	3050.00	3050.00	4044	3050.00
3078.00	3078.00	3078.00	3078.00	2700	3078.00
3085.00	3085.00	3085.00	3085.00	225	3085.00
3090.00	3090.00	3090.00	3090.00	7523	3090.00
3102.00	3103.00	3092.00	3103.00	617	3103.00
3129.00	3141.00	3126.00	3141.00	12572	3141.00
3172.00	3172.00	3172.00	3172.00	198	3172.00
3177.00	3220.00	3177.00	3220.00	30502	3220.00
3301.00	3301.00	3300.00	3300.00	1000	3300.00
3304.00	3304.00	3304.00	3304.00	562	3304.00
3312.00	3435.00	3250.00	3312.00	8558	3312.00
3250.00	3250.00	3250.00	3250.00	2000	3250.00
3236.00	3236.00	3236.00	3236.00	20823	3236.00
3235.00	3235.00	3200.00	3200.00	3000	3200.00
3180.00	3180.00	3180.00	3180.00	2000	3180.00
3180.00	3180.00	3179.00	3180.00	9436	3180.00
3180.00	3181.00	3180.00	3181.00	1948	3181.00
3200.00	3200.00	3200.00	3200.00	1000	3200.00
3201.00	3201.00	3201.00	3201.00	28282	3201.00
3201.00	3201.00	3200.00	3200.00	948	3200.00
3199.00	3199.00	3199.00	3199.00	1050	3199.00
3160.00	3160.00	3160.00	3160.00	2000	3160.00
3157.00	3159.00	3157.00	3159.00	1064	3159.00
3150.00	3150.00	3127.00	3127.00	65530	3127.00
3125.00	3128.00	3125.00	3128.00	20000	3128.00
3100.00	3127.00	3100.00	3100.00	7000	3100.00
3100.00	3100.00	3100.00	3100.00	18363	3100.00
3100.00	3100.00	3100.00	3100.00	14947	3100.00
3100.00	3100.00	3100.00	3100.00	25321	3100.00
3100.00	3100.00	3100.00	3100.00	8550	3100.00
3100.00	3105.00	3100.00	3105.00	23434	3105.00
3101.00	3101.00	3101.00	3101.00	7000	3101.00
3100.00	3101.00	3100.00	3101.00	4185	3101.00
3100.00	3100.00	3100.00	3100.00	10214	3100.00
3100.00	3100.00	3100.00	3100.00	7575	3100.00
3100.00	3100.00	3100.00	3100.00	69	3100.00
3102.00	3102.00	3101.00	3102.00	4451	3102.00
3104.00	3105.00	3103.00	3105.00	6210	3105.00
3104.00	3104.00	3104.00	3104.00	854	3104.00
3104.00	3105.00	3104.00	3105.00	5997	3105.00
3104.00	3105.00	3104.00	3104.00	4167	3104.00
3103.00	3103.00	3103.00	3103.00	207	3103.00
3102.00	3103.00	3102.00	3103.00	59644	3103.00
3100.00	3100.00	3100.00	3100.00	2000	3100.00
3100.00	3100.00	3100.00	3100.00	31196	3100.00
3100.00	3100.00	3100.00	3100.00	832	3100.00
3100.00	3100.00	3100.00	3100.00	3000	3100.00
3099.00	3099.00	3099.00	3099.00	1917	3099.00
3089.00	3089.00	3070.00	3070.00	16250	3070.00
3041.00	3041.00	3039.00	3039.00	45004	3039.00
2999.00	2999.00	2999.00	2999.00	5000	2999.00
2974.00	2974.00	2974.00	2974.00	763	2974.00
2971.00	2971.00	2971.00	2971.00	6192	2971.00
2968.00	2968.00	2968.00	2968.00	681	2968.00
2963.00	2963.00	2963.00	2963.00	540	2963.00
2948.00	2950.00	2948.00	2950.00	12328	2950.00
2954.00	2954.00	2953.00	2953.00	6298	2953.00
2950.00	2950.00	2950.00	2950.00	533	2950.00
2945.00	2945.00	2941.00	2943.00	15457	2943.00
2940.00	2941.00	2940.00	2941.00	7081	2941.00
2935.00	2936.00	2935.00	2936.00	12890	2936.00
2900.00	2900.00	2900.00	2900.00	7303	2900.00
2890.00	2890.00	2887.00	2888.00	36975	2888.00
2895.00	2896.00	2893.00	2896.00	6393	2896.00
2952.00	2999.00	2897.00	2999.00	13142	2999.00
2999.00	2999.00	2999.00	2999.00	4831	2999.00
2999.00	2999.00	2998.00	2999.00	2051	2999.00
2999.00	3002.00	2999.00	3002.00	45387	3002.00
3001.00	3006.00	3001.00	3006.00	7180	3006.00
3010.00	3010.00	3010.00	3010.00	2872	3010.00
3015.00	3031.00	3015.00	3031.00	25547	3031.00
3051.00	3100.00	3051.00	3100.00	4924	3100.00
3100.00	3100.00	3100.00	3100.00	112	3100.00
3102.00	3104.00	3102.00	3104.00	60000	3104.00
3200.00	3200.00	3151.00	3151.00	896	3151.00
2500.00	2500.00	2500.00	2500.00	1000	2500.00
2499.00	2500.00	2499.00	2500.00	28266	2500.00
2625.00	2625.00	2625.00	2625.00	3774	2625.00
2625.00	2630.00	2625.00	2630.00	7016	2630.00
2652.00	2653.00	2651.00	2651.00	13695	2651.00
2661.00	2662.00	2654.00	2659.00	3398	2659.00
2670.00	2670.00	2670.00	2670.00	2000	2670.00
2680.00	2682.00	2678.00	2679.00	11517	2679.00
2685.00	2685.00	2684.00	2684.00	681	2684.00
2685.00	2700.00	2685.00	2700.00	1106	2700.00
2710.00	2710.00	2700.00	2700.00	3000	2700.00
2700.00	2700.00	2700.00	2700.00	9633	2700.00
2700.00	2700.00	2699.00	2699.00	11341	2699.00
2699.00	2699.00	2699.00	2699.00	206	2699.00
2700.00	2700.00	2699.00	2699.00	2269	2699.00
2694.00	2697.00	2690.00	2697.00	5910	2697.00
2695.00	2695.00	2695.00	2695.00	1000	2695.00
2688.00	2688.00	2688.00	2688.00	11947	2688.00
2679.00	2679.00	2679.00	2679.00	1852	2679.00
2658.00	2659.00	2658.00	2659.00	750	2659.00
2656.00	2657.00	2648.00	2650.00	7377	2650.00
2640.00	2693.00	2640.00	2693.00	25506	2693.00
2693.00	2700.00	2693.00	2700.00	7290	2700.00
2750.00	2750.00	2701.00	2701.00	3238	2701.00
2704.00	2715.00	2704.00	2712.00	5839	2712.00
2750.00	2750.00	2750.00	2750.00	1650	2750.00
2750.00	2752.00	2750.00	2752.00	3219	2752.00
2751.00	2751.00	2751.00	2751.00	2000	2751.00
2752.00	2752.00	2752.00	2752.00	7824	2752.00
2752.00	2752.00	2752.00	2752.00	2738	2752.00
2746.00	2746.00	2746.00	2746.00	722	2746.00
2686.00	2750.00	2686.00	2749.00	35000	2749.00
2749.00	2750.00	2749.00	2749.00	14993	2749.00
2750.00	2750.00	2750.00	2750.00	2781	2750.00
2749.00	2750.00	2749.00	2750.00	20000	2750.00
2740.00	2750.00	2740.00	2750.00	23316	2750.00
2750.00	2750.00	2750.00	2750.00	6000	2750.00
2770.00	2835.00	2770.00	2809.00	24140	2809.00
2902.00	2902.00	2870.00	2900.00	25500	2900.00
2965.00	2990.00	2949.00	2949.00	20900	2949.00
2942.00	2942.00	2904.00	2904.00	15622	2904.00
2942.00	2980.00	2904.00	2980.00	46626	2980.00
3100.00	3100.00	3100.00	3100.00	1000	3100.00
3190.00	3190.00	3131.00	3190.00	28502	3190.00
3300.00	3303.00	3208.00	3303.00	35914	3303.00
3349.00	3468.00	3308.00	3468.00	14571	3468.00
3500.00	3640.00	3500.00	3640.00	1409	3640.00
3640.00	3700.00	3640.00	3700.00	8400	3700.00
3540.00	3700.00	3536.00	3537.00	8677	3537.00
3537.00	3537.00	3537.00	3537.00	11321	3537.00
3537.00	3537.00	3537.00	3537.00	1562	3537.00
3538.00	3538.00	3538.00	3538.00	1000	3538.00
3538.00	3538.00	3538.00	3538.00	4237	3538.00
3538.00	3538.00	3538.00	3538.00	4000	3538.00
3536.00	3536.00	3536.00	3536.00	1787	3536.00
3495.00	3495.00	3495.00	3495.00	170	3495.00
3491.00	3491.00	3491.00	3491.00	1972	3491.00
3400.00	3400.00	3400.00	3400.00	305	3400.00
3384.00	3387.00	3378.00	3380.00	15000	3380.00
3376.00	3400.00	3376.00	3400.00	24566	3400.00
3475.00	3500.00	3456.00	3500.00	10097	3500.00
3570.00	3675.00	3570.00	3675.00	51684	3675.00
3677.00	3677.00	3675.00	3675.00	6000	3675.00
3676.00	3700.00	3676.00	3700.00	10912	3700.00
3698.00	3702.00	3698.00	3701.00	13749	3701.00
3714.00	3886.00	3714.00	3886.00	3364	3886.00
4080.00	4080.00	4079.00	4080.00	12557	4080.00
4080.00	4080.00	4080.00	4080.00	7723	4080.00
4070.00	4080.00	4070.00	4070.00	9719	4070.00
4080.00	4080.00	4059.00	4078.00	36604	4078.00
4079.00	4080.00	4079.00	4079.00	37000	4079.00
4069.00	4080.00	4064.00	4080.00	28900	4080.00
4079.00	4080.00	4079.00	4080.00	5780	4080.00
4080.00	4100.00	4080.00	4100.00	20361	4100.00
4103.00	4280.00	4102.00	4280.00	4621	4280.00
4280.00	4280.00	4280.00	4280.00	1917	4280.00
4286.00	4300.00	4280.00	4280.00	13800	4280.00
4280.00	4480.00	4280.00	4480.00	12846	4480.00
