A	D	E	G	S	EN	EI	FI	FS	WFENI	WI
97.15842491	5.857142857	3.816533786	6333.22	8106.9	490.73	93.34	56.14	45804	58.67	6071.47
100	5	0	5887.38	8552.75	411.54	117.42	59.23	48323.02	79.68	6326.57
97.99592075	10.07142857	4.738744318	6356.16	8083.96	482.64	94.64	55.98	45674.38	67.71	6256.63
63.28627947	28.08	34.93676507	8895.56	5544.56	616.83	50.79	38.4	31326.77	51.31	6407.56
27.29281877	7.607142857	6.62561727	12082.36	2357.76	849.91	15.67	16.33	13321.35	25.02	6353.36
23.38893211	7.785714286	3.335440375	12419.92	2020.2	876.64	13.02	13.99	11414.14	23.95	6377.19
69.90533945	19.12	37.59721176	8415.25	6024.88	576.91	59	41.72	34040.57	55.75	6407.85
91.34497134	6.571428571	7.093845299	6732.39	7707.73	514.09	84.71	53.38	43548.7	54.11	6064.27
99.70862471	9.214285714	1.05448117	5990.84	8449.29	420.77	113.46	58.51	47738.48	76.6	6295.33
23.44778344	29.85714286	44.97039254	12378.24	2061.88	858.12	13.58	14.28	11649.62	25.8	6409.05
95.52894328	10.71428571	7.537532739	6546.86	7893.26	486.16	91.73	54.66	44596.93	69.68	6333.09
68.96472227	19.36	37.34126516	8455.44	5984.69	581.56	58.14	41.44	33813.5	55.25	6406.2
13.14509708	23.78571429	100	13676.23	763.89	940.69	4.59	5.29	4316	19.7	6451.32
90.30836906	6.714285714	6.493172372	6836.74	7603.38	517.14	83.07	52.65	42959.11	55.88	6121.04
67.66305108	11.75	64.10287552	10434.7	4005.43	716.79	31.57	27.74	22630.67	42.29	6473.04
92.66916417	11.14285714	10.61530299	6725.75	7714.38	491.56	88.67	53.42	43586.24	70.55	6386.41
20.97935775	30.71428571	51.87963626	12790.42	1649.7	886.81	10.51	11.42	9320.82	23.12	6408.24
15.77302367	24	100	13482.48	957.64	947.19	5.71	6.63	5410.67	14.63	6320.07
64.32898916	19.8	35.58630584	8884.36	5555.76	616.49	50.92	38.47	31390.05	50.68	6392.58
94.63966589	10.92857143	8.25459025	6609.44	7830.69	487.36	90.78	54.23	44243.38	70.05	6352.28
30.17822817	7.428571429	6.825005738	11946.65	2493.48	881.33	15.99	17.27	14088.15	19.87	6230.56
63.38637413	20	36.67059723	8938.17	5501.96	617.73	50.32	38.1	31086.05	49.86	6383.64
32.92573199	7.25	5.583076424	11617.58	2822.54	821.93	19.4	19.55	15947.35	25.9	6307.39
89.78649129	11.57142857	13.10227237	6918.04	7522.09	494.32	85.98	52.09	42499.79	72.5	6461.33
91.95538749	6.428571429	7.347675839	6678.07	7762.06	510.17	85.96	53.75	43855.62	54.28	6055.12
25.46410397	29.28571429	44.52165953	12202.37	2237.76	845.87	14.95	15.5	12643.34	26.96	6409.47
25.16375886	21.64285714	45.20213874	12222.69	2217.44	842.7	14.87	15.36	12528.51	27.65	6426.28
59.20878903	12.25	78.32927365	11092.66	3347.47	772.49	24.48	23.18	18913.2	31.05	6338.16
40.83684147	6.892857143	3.87878974	10952.46	3487.67	803.26	24.53	24.15	19705.33	29.37	6289.81
15.89798828	31.85714286	87.61958239	13462.74	977.39	933.05	5.92	6.77	5522.23	19.06	6410.77
89.32735008	6.857142857	7.515224058	6931.26	7508.87	520.61	81.49	52	42425.1	56.33	6148.7
